"","method","tau"
"1","RK45",0.131681348258291
"2","RK45",0.144675604433224
"3","RK45",0.13215225578813
"4","RK45",0.140097970091074
"5","RK45",0.167739817934927
"6","RK45",0.15907784663152
"7","RK45",0.0988456145519
"8","RK45",0.174905502129375
"9","BDF",0.133031687325114
"10","BDF",0.082357365487021
"11","BDF",0.169043158272904
"12","BDF",0.111389017785247
"13","BDF",0.12568868551479
"14","BDF",0.182930617167046
"15","BDF",0.108020452015003
"16","BDF",0.123216277163273
"17","Late switch",0.11172118261663
"18","Late switch",0.114907386205742
"19","Late switch",0.182315164057575
"20","Late switch",0.111040258276907
"21","Late switch",0.138665636837702
"22","Late switch",0.160668131452539
"23","Late switch",0.12569609805598
"24","Late switch",0.0792350031333573
"25","Early switch",0.0982105001251179
"26","Early switch",0.115287965540866
"27","Early switch",0.121289497107299
"28","Early switch",0.123686620107257
"29","Early switch",0.124523742828078
"30","Early switch",0.127438941485341
"31","Early switch",0.119891226679634
"32","Early switch",0.099342612221255
